title,abstract,categories
HIGH-FIDELITY SPEECH ENHANCEMENT VIA DISCRETE AUDIO TOKENS,"Recent autoregressive transformer-based speech enhancement (SE) methods have shown promising results by leveraging advanced semantic understanding and contextual modeling of speech. However, these approaches often rely on complex multi-stage pipelines and low sampling rate codecs, limiting them to narrow and task-specific speech enhancement. In this work, we introduce DAC-SE1, a simplified language model-based SE framework leveraging discrete high-resolution audio representations; DAC-SE1 preserves fine-grained acoustic details while maintaining semantic coherence. Our experiments show that DAC-SE1 surpasses state-of-the-art autoregressive SE methods on both objective perceptual metrics and in a MUSHRA human evaluation. We release our codebase and model checkpoints to support further research in scalable, unified, and high-quality speech enhancement","['Audio & Speech Processing', 'NLP & LLMs']"
ICASSP 2026 URGENT SPEECH ENHANCEMENT CHALLENGE,"The ICASSP 2026 URGENT Challenge advances the series by focusing on universal speech enhancement (SE) systems that handle diverse distortions, domains, and input conditions. This overview paper details the challenge’s motivation, task definitions, datasets, baseline systems, evaluation protocols, and results. The challenge is divided into two complementary tracks. Track 1 focuses on universal speech enhancement, while Track 2 introduces speech quality assessment for enhanced speech. The challenge attracted over 80 team registrations, with 29 submitting valid entries, demonstrating significant community interest in robust SE technologies.",['Audio & Speech Processing']
The Interspeech 2026 Audio Reasoning Challenge: Evaluating Reasoning Process Quality for Audio Reasoning Models and Agents,"Recent Large Audio Language Models (LALMs) excel in understanding but often lack transparent reasoning. To address this black-box limitation, we organized the Audio Reasoning Challenge at Interspeech 2026, the first shared task dedicated to evaluating Chain-of-Thought (CoT) quality in the audio domain. The challenge introduced MMAR-Rubrics, a novel instance-level protocol assessing the factuality and logic of reasoning chains. Featured Single Model and Agent tracks, the competition attracting 156 teams from 18 countries and regions. Results show agent systems currently lead in reasoning quality, utilizing iterative tool orchestration and cross-modal analysis. Besides, single models are rapidly advancing via reinforcement learning and sophisticated data pipeline. We detail the challenge design, methodology, and a comprehensive analysis of state-of-the-art systems, providing new insights for explainable audio intelligence.","['Audio & Speech Processing', 'NLP & LLMs', 'Explainable AI']"
Training-Free Multi-Step Inference for Target Speaker Extraction,"Target speaker extraction (TSE) aims to recover a target speaker’s speech from a mixture using a reference utterance as a cue. Most TSE systems adopt conditional auto-encoder architectures with one-step inference. Inspired by test-time scaling, we propose a training-free multi-step inference method that features iterative refinement with a frozen pretrained model. At each step, new candidates are generated by interpolating the original mixture and the previous estimate, and the best candidate is selected for further refinement until convergence. Experiments show that, when ground-truth target speech is available, optimizing an intrusive metric (SI-SDRi) yields consistent gains across multiple evaluation metrics. Without ground truth, optimizing non-intrusive metrics (UTMOS or SpkSim) improves the corresponding metric but may hurt others. We therefore introduce joint metric optimization to balance these objectives, enabling controllable extraction preferences for practical deployment.",['Audio & Speech Processing']
The Interspeech 2026 Audio Encoder Capability Challenge for Large Audio Language Models,"This paper presents the Interspeech 2026 Audio Encoder Capability Challenge, a benchmark specifically designed to evaluate and advance the performance of pre-trained audio encoders as front-end modules for Large Audio Language Models (LALMs). While LALMs have shown remarkable understanding of complex acoustic scenes, their performance depends on the semantic richness of the underlying audio encoder representations. This challenge addresses the integration gap by providing a unified generative evaluation framework, XARES-LLM, which assesses submitted encoders across a diverse suite of downstream classification and generation tasks. By decoupling encoder development from LLM fine-tuning, the challenge establishes a standardized protocol for general-purpose audio representations that can effectively be used for the next generation of multimodal language models.","['Audio & Speech Processing', 'NLP & LLMs']"
InternImage: Exploring Large-Scale Vision Foundation Models with Deformable Convolutions,"Compared to the great progress of large-scale vision transformers (ViTs) in recent years, large-scale models based on convolutional neural networks (CNNs) are still in an early state. This work presents a new large-scale CNN-based foundation model, termed InternImage, which can obtain the gain from increasing parameters and training data like ViTs. Different from the recent CNNs that focus on large dense kernels, InternImage takes deformable convolution as the core operator, so that our model not only h   as the large effective receptive field required for downstream tasks such as detection and segmentation, but also has the adaptive spatial aggregation conditioned by input and task information. As a result, the proposed InternImage reduces the strict inductive bias of traditional CNNs and makes it possible to learn stronger and more robust patterns with large-scale parameters from massive data like ViTs. The effectiveness of our model is proven on challenging benchmarks including ImageNet, COCO, and ADE20K. It is worth mentioning that InternImage-H achieved a new record 65.4 mAP on COCO test-dev and 62.9 mIoU on ADE20K, outperforming current leading CNNs and ViTs.",['Computer Vision & Image Processing']
VideoMAE V2: Scaling Video Masked Autoencoders with Dual Masking,"Scale is the primary factor for building a powerful foundation model that can generalize well across a variety of downstream tasks. However, training video foundation models with billions of parameters remains challenging. This paper demonstrates that Video Masked Autoencoder (VideoMAE) is a scalable and general self-supervised pre-training framework for building video foundation models. The authors scale VideoMAE in both model size and training data through a core architectural design. Specifically, they introduce a dual masking strategy for efficient pre-training, where the encoder operates on a subset of video tokens while the decoder processes another subset. Although VideoMAE is already computationally efficient due to the high masking ratio used in the encoder, masking the decoder further reduces the overall computational cost, making it feasible to efficiently pre-train billion-parameter video models. The paper also adopts a progressive training paradigm, beginning with pre-training on a large and diverse unlabeled multi-source dataset, followed by post-pre-training on a mixed labeled dataset. Using this approach, the authors successfully train a video Vision Transformer (ViT) model with one billion parameters, achieving state-of-the-art results on several benchmark datasets, including 90.0% on Kinetics-400, 89.9% on Kinetics-600, 68.7% on Something-Something V1, and 77.0% on Something-Something V2. In addition, the pre-trained video ViT models are extensively evaluated on a variety of downstream tasks, demonstrating their effectiveness as general-purpose video representation learners.",['Computer Vision & Image Processing']
Segment Everything Everywhere All at Once,"In this work, the authors present SEEM, a promptable and interactive model designed to segment everything everywhere all at once within an image. SEEM introduces a novel decoding mechanism that supports diverse prompting methods for various segmentation tasks, aiming to create a universal segmentation interface similar to large language models (LLMs). The model is built around four key desiderata. First, versatility: SEEM introduces a new visual prompt representation that unifies different spatial queries such as points, boxes, scribbles, and masks, and can even generalize to referring images. Second, compositionality: the model learns a joint visual-semantic space shared between text and visual prompts, enabling dynamic combinations of different prompt types for complex segmentation tasks. Third, interactivity: SEEM incorporates learnable memory prompts into the decoder, allowing it to preserve segmentation history through mask-guided cross-attention between the decoder and image features. Fourth, semantic-awareness: a text encoder maps both text queries and mask labels into the same semantic space, enabling open-vocabulary segmentation. Extensive experiments demonstrate the effectiveness of SEEM across a wide range of segmentation tasks. A single SEEM model achieves competitive performance in interactive segmentation, generic segmentation, referring segmentation, and video object segmentation across nine datasets while using as little as 1/100 supervision. Additionally, SEEM shows strong generalization ability to unseen prompts and combinations of prompts, making it a highly universal image segmentation interface.","['Computer Vision & Image Processing', 'Multimodal AI']"
DINOv2: Learning Robust Visual Features without Supervision,"The recent breakthroughs in natural language processing through large-scale model pretraining have paved the way for similar foundation models in computer vision. These models have the potential to simplify the use of images in various systems by producing general-purpose visual features that can transfer across different image distributions and tasks without requiring finetuning. This work demonstrates that existing pretraining approaches, particularly self-supervised methods, can generate such features when trained on sufficiently large and curated datasets collected from diverse sources. The authors revisit existing methods and combine multiple techniques to scale pretraining in terms of both data and model size, with many of the technical contributions focused on accelerating and stabilizing large-scale training. On the data side, they propose an automatic pipeline for constructing a dedicated, diverse, and curated image dataset instead of relying on uncurated web-scale data commonly used in self-supervised learning. On the model side, they train a Vision Transformer (ViT) with one billion parameters and distill it into a series of smaller models that outperform the best available general-purpose visual features, including OpenCLIP, across most image-level and pixel-level benchmarks.",['Computer Vision & Image Processing']
Visual Instruction Tuning,"Instruction tuning large language models (LLMs) using machine-generated instruction-following data has been shown to improve zero-shot capabilities on new tasks, but the idea is less explored in the multimodal field. We present the first attempt to use language-only GPT-4 to generate multimodal language-image instruction-following data. By instruction tuning on such generated data, we introduce LLaVA: Large Language and Vision Assistant, an end-to-end trained large multimodal model that connects a vision encoder and an LLM for general purpose visual and language understanding. To facilitate future research on visual instruction following, we construct two evaluation benchmarks with diverse and challenging application-oriented tasks. Our experiments show that LLaVA demonstrates impressive multimodal chat abilities, sometimes exhibiting the behaviors of multimodal GPT-4 on unseen images/instructions, and yields a 85.1% relative score compared with GPT-4 on a synthetic multimodal instruction-following dataset. When fine-tuned on Science QA, the synergy of LLaVA and GPT-4 achieves a new state-of-the-art accuracy of 92.53%. We make GPT-4 generated visual instruction tuning data, our model, and code publicly available.","['Computer Vision & Image Processing', 'Multimodal AI', 'NLP & LLMs']"
Graph Retrieval-Augmented Generation: A Survey,"Recently, Retrieval-Augmented Generation (RAG) has achieved remarkable success in addressing the challenges of Large Language Models (LLMs) without necessitating retraining. By referencing an external knowledge base, RAG refines LLM outputs, effectively mitigating issues such as “hallucination”, lack of domain-specific knowledge, and outdated information. However, the complex structure of relationships among different entities in databases presents challenges for RAG systems. In response, GraphRAG leverages structural information across entities to enable more precise and comprehensive retrieval, capturing relational knowledge and facilitating more accurate, context-aware responses. Given the novelty and potential of GraphRAG, a systematic review of current technologies is imperative. This paper provides the first comprehensive overview of GraphRAG methodologies. We formalize the GraphRAG workflow, encompassing Graph-Based Indexing, Graph-Guided Retrieval, and Graph-Enhanced Generation. We then outline the core technologies and training methods at each stage. Additionally, we examine downstream tasks, application domains, evaluation methodologies, and industrial use cases of GraphRAG. Finally, we explore future research directions to inspire further inquiries and advance progress in the field. In order to track recent progress in this field, we set up a repository at https://github.com/pengboci/GraphRAG-Survey","['Knowledge Graph', 'NLP & LLMs']"
Knowledge Graph-Enhanced Multi-Agent Infrastructure for coupling physical and digital robotic environments(KG-MAS),"The seamless integration of physical and digital environments in Cyber-Physical Systems (CPS), particularly within Industry 4.0, presents significant challenges stemming from system heterogeneity and complexity. Traditional approaches often rely on rigid, data-centric solutions like co-simulation frameworks or brittle point-to-point middleware bridges, which lack the semantic richness and flexibility required for intelligent, autonomous coordination. This report introduces the Knowledge Graph Enhanced Multi-Agent Infrastructure (KG-MAS) as a resolution in addressing such limitations. KG-MAS leverages a centralized Knowledge Graph (KG) as a dynamic, shared world model, providing a common semantic foundation for a Multi-Agent System (MAS). Autonomous agents, representing both physical and digital components, query this KG for decision-making and update it with real-time state information. The infrastructure features a model-driven architecture which facilitates the automatic generation of agents from semantic descriptions, thereby simplifying system extension and maintenance. By abstracting away underlying communication protocols and providing a unified, intelligent coordination mechanism, KG-MAS offers a robust, scalable, and flexible solution for coupling heterogeneous physical and digital robotic environments.",['Knowledge Graph']
